datum,sales
31-01-2014,152.1
28-02-2014,177
31-03-2014,147.655
30-04-2014,130.9
31-05-2014,132.1
30-06-2014,122.9
31-07-2014,129.3
31-08-2014,123.8
30-09-2014,122.1
31-10-2014,191.6
30-11-2014,142.7
31-12-2014,111.124
31-01-2015,141
28-02-2015,131.83
31-03-2015,133.8
30-04-2015,122.1
31-05-2015,136.04
30-06-2015,145.46
31-07-2015,125.5
31-08-2015,133.4
30-09-2015,110.4
31-10-2015,146.2
30-11-2015,145.9
31-12-2015,137
31-01-2016,172.5
29-02-2016,134.2
31-03-2016,148.4
30-04-2016,147.7
31-05-2016,130.55
30-06-2016,117.75
31-07-2016,137.9
31-08-2016,132.7
30-09-2016,116.7
31-10-2016,160.15
30-11-2016,133.85
31-12-2016,132.4
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
